SNV;Index;BR;UF;initial(km);final(km);Extension(km);LOTE;Address_of_SNV_in_network
020DF049531;222;20;DF;49.53;42.09;7.44;1;\Videos\Recebidos\2020\Lote1\1100\20_07_2020\11_020DF049531
020DF049549;223;20;DF;49.55;52.47;2.92;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\12_020DF049549
020DF052439;224;20;DF;52.44;49.53;2.91;1;\Videos\Recebidos\2020\Lote1\1100\20_07_2020\13_020DF052439
020DF052471;225;20;DF;52.47;58.12;5.65;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\14_020DF052471
020DF058086;226;20;DF;58.09;52.44;5.65;1;\Videos\Recebidos\2020\Lote1\1100\20_07_2020\15_020DF058086
020DF058117;227;20;DF;58.12;59.09;0.97;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\16_020DF058117
020DF059073;228;20;DF;59.07;58.09;0.98;1;\Videos\Recebidos\2020\Lote1\1100\20_07_2020\17_020DF059073
020GO000000;229;20;GO;0.00;3.68;3.68;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\18_020GO000000
020GO003678;230;20;GO;3.68;21.50;17.82;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\19_020GO003678
020GO021503;231;20;GO;21.50;30.69;9.19;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\20_020GO021503
020GO030687;232;20;GO;30.69;72.39;41.70;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\21_020GO030687
020GO072387;233;20;GO;72.39;104.65;32.26;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\22_020GO072387
020GO104653;234;20;GO;104.65;141.92;37.27;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\23_020GO104653
020GO141915;235;20;GO;141.92;179.38;37.46;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\24_020GO141915
020GO179380;236;20;GO;179.38;185.16;5.78;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\25_020GO179380
020GO185157;237;20;GO;185.16;214.69;29.53;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\26_020GO185157
020GO214685;238;20;GO;214.69;229.59;14.90;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\27_020GO214685
020GO229589;239;20;GO;229.59;252.51;22.92;1;\Videos\Recebidos\2020\Lote1\1100\19_07_2020\28_020GO229589
060GO000555;1069;60;GO;0.00;0.56;0.56;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\165_060GO000555
060GO000557;1070;60;GO;0.56;0.00;0.56;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\166_060GO000557
060GO000851;1071;60;GO;0.85;0.56;0.29;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\167_060GO000851
060GO039277;1066;60;GO;39.28;34.00;5.28;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\162_060GO039277
060GO039281;1065;60;GO;34.00;39.28;5.28;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\161_060GO039281
060GO050997;1068;60;GO;51.00;39.28;11.72;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\164_060GO050997
060GO051026;1067;60;GO;39.28;51.03;11.75;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\163_060GO051026
060GO143947;1020;60;GO;139.40;143.95;4.55;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\116_060GO143947
060GO143956;1021;60;GO;143.96;139.40;4.56;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\117_060GO143956
060GO154412;1023;60;GO;154.41;143.96;10.45;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\119_060GO154412
060GO154563;1022;60;GO;143.95;154.56;10.61;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\118_060GO154563
060GO160143;1024;60;GO;154.56;160.14;5.58;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\120_060GO160143
060GO160312;1025;60;GO;160.31;154.41;5.90;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\121_060GO160312
060GO162218;1026;60;GO;160.14;162.22;2.08;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\122_060GO162218
060GO162367;1027;60;GO;162.37;160.31;2.06;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\123_060GO162367
060GO189450;1028;60;GO;162.22;189.45;27.23;1;\Videos\Recebidos\2020\Lote1\1102\09_08_2020\124_060GO189450
060GO189587;1029;60;GO;189.59;162.37;27.22;1;\Videos\Recebidos\2020\Lote1\1102\08_08_2020\125_060GO189587
060GO210226;1030;60;GO;189.45;210.23;20.78;1;\Videos\Recebidos\2020\Lote1\1102\09_08_2020\126_060GO210226
060GO210387;1031;60;GO;210.39;189.59;20.80;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\127_060GO210387
060GO218687;1032;60;GO;210.23;218.69;8.46;1;\Videos\Recebidos\2020\Lote1\1102\09_08_2020\128_060GO218687
060GO218842;1033;60;GO;218.84;210.39;8.45;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\129_060GO218842
060GO226092;1034;60;GO;218.69;226.09;7.40;1;\Videos\Recebidos\2020\Lote1\1102\09_08_2020\130_060GO226092
060GO226232;1035;60;GO;226.23;218.84;7.39;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\131_060GO226232
060GO251952;1036;60;GO;226.09;251.95;25.86;1;\Videos\Recebidos\2020\Lote1\1102\09_08_2020\132_060GO251952
060GO252113;1037;60;GO;252.11;226.23;25.88;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\133_060GO252113
060GO304283;1038;60;GO;251.95;304.28;52.33;1;\Videos\Recebidos\2020\Lote1\1102\09_08_2020\134_060GO304283
060GO304463;1039;60;GO;304.46;252.11;52.35;1;\Videos\Recebidos\2020\Lote1\1102\07_08_2020\135_060GO304463
060GO327848;1040;60;GO;304.28;327.85;23.57;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\136_060GO327848
060GO328003;1041;60;GO;328.00;304.46;23.54;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\137_060GO328003
060GO349843;1042;60;GO;327.85;349.84;21.99;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\138_060GO349843
060GO350003;1043;60;GO;350.00;328.00;22.00;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\139_060GO350003
060GO381169;1044;60;GO;349.84;381.17;31.33;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\140_060GO381169
060GO381323;1045;60;GO;381.32;350.00;31.32;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\141_060GO381323
060GO387864;1046;60;GO;381.17;387.86;6.69;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\142_060GO387864
060GO388028;1047;60;GO;388.03;381.32;6.71;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\143_060GO388028
060GO393184;1048;60;GO;387.86;393.18;5.32;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\144_060GO393184
