SNV;Index;BR;UF;initial(km);final(km);Extension(km);LOTE;Address_of_SNV_in_network
158MT079201;3302;158;MT;79.20;78.96;0.24;1;\Videos\Recebidos\2020\Lote1\1107\10_11_2020\12_158MT079201
158MT079202;3301;158;MT;78.95;79.20;0.25;1;\Videos\Recebidos\2020\Lote1\1107\10_11_2020\11_158MT079202
158MT134367;3303;158;MT;134.37;79.20;55.17;1;\Videos\Recebidos\2020\Lote1\1107\10_11_2020\13_158MT134367
158MT139141;3304;158;MT;139.14;134.37;4.77;1;\Videos\Recebidos\2020\Lote1\1107\10_11_2020\14_158MT139141
158MT142012;3305;158;MT;139.14;142.01;2.87;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\15_158MT142012
158MT142020;3306;158;MT;142.02;139.14;2.88;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\16_158MT142020
158MT143234;3308;158;MT;143.23;142.02;1.21;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\18_158MT143234
158MT143250;3307;158;MT;142.01;143.25;1.24;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\17_158MT143250
158MT167176;3309;158;MT;167.18;143.23;23.95;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\19_158MT167176
158MT169643;3311;158;MT;169.64;167.18;2.46;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\21_158MT169643
158MT169682;3310;158;MT;167.19;169.68;2.49;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\20_158MT169682
158MT185673;3312;158;MT;185.67;169.64;16.03;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\22_158MT185673
158MT200366;3313;158;MT;200.37;185.67;14.70;1;\Videos\Recebidos\2020\Lote1\1107\09_11_2020\23_158MT200366
158MT376869;3314;158;MT;376.87;311.67;65.20;1;\Videos\Recebidos\2020\Lote1\1107\08_11_2020\24_158MT376869
158MT377076;3316;158;MT;377.08;376.87;0.21;1;\Videos\Recebidos\2020\Lote1\1107\07_11_2020\26_158MT377076
158MT377103;3315;158;MT;376.91;377.10;0.19;1;\Videos\Recebidos\2020\Lote1\1107\07_11_2020\25_158MT377103
158MT377301;3318;158;MT;377.30;377.08;0.22;1;\Videos\Recebidos\2020\Lote1\1107\07_11_2020\28_158MT377301
158MT377342;3317;158;MT;377.10;377.34;0.24;1;\Videos\Recebidos\2020\Lote1\1107\07_11_2020\27_158MT377342
158MT402520;3319;158;MT;402.52;377.30;25.22;1;\Videos\Recebidos\2020\Lote1\1107\07_11_2020\29_158MT402520
158MT404575;3320;158;MT;402.56;404.58;2.02;1;\Videos\Recebidos\2020\Lote1\1107\06_11_2020\30_158MT404575
158MT404584;3321;158;MT;404.58;402.52;2.06;1;\Videos\Recebidos\2020\Lote1\1107\06_11_2020\31_158MT404584
158MT407377;3322;158;MT;407.38;404.58;2.80;1;\Videos\Recebidos\2020\Lote1\1107\06_11_2020\32_158MT407377
158MT451817;3323;158;MT;451.82;407.38;44.44;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\33_158MT451817
158MT479185;3324;158;MT;479.19;451.82;27.37;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\34_158MT479185
158MT494453;3325;158;MT;494.45;479.19;15.26;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\35_158MT494453
158MT494700;3326;158;MT;494.44;494.70;0.26;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\36_158MT494700
158MT494709;3327;158;MT;494.71;494.45;0.26;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\37_158MT494709
158MT494970;3328;158;MT;494.70;494.97;0.27;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\38_158MT494970
158MT494975;3329;158;MT;494.98;494.71;0.27;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\39_158MT494975
158MT504973;3330;158;MT;504.97;494.98;9.99;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\40_158MT504973
158MT513561;3331;158;MT;513.56;504.97;8.59;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\41_158MT513561
158MT545585;3332;158;MT;545.59;513.56;32.03;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\42_158MT545585
158MT548933;3334;158;MT;548.93;545.59;3.34;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\44_158MT548933
158MT548937;3333;158;MT;545.58;548.94;3.36;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\43_158MT548937
158MT550201;3336;158;MT;550.20;548.93;1.27;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\46_158MT550201
158MT550209;3335;158;MT;548.94;550.21;1.27;1;\Videos\Recebidos\2020\Lote1\1107\05_11_2020\45_158MT550209
158MT618265;3337;158;MT;618.27;550.20;68.07;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\47_158MT618265
158MT626152;3338;158;MT;626.15;618.27;7.88;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\48_158MT626152
158MT630498;3339;158;MT;630.50;626.15;4.35;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\49_158MT630498
158MT633943;3340;158;MT;633.94;630.50;3.44;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\50_158MT633943
158MT634084;3342;158;MT;634.08;633.94;0.14;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\52_158MT634084
158MT634087;3341;158;MT;633.95;634.09;0.14;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\51_158MT634087
158MT634666;3344;158;MT;634.67;634.08;0.59;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\54_158MT634666
158MT634704;3343;158;MT;634.09;634.70;0.61;1;\Videos\Recebidos\2020\Lote1\1107\04_11_2020\53_158MT634704
158MT635625;3345;158;MT;635.63;634.67;0.96;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\55_158MT635625
158MT635804;3347;158;MT;635.80;635.63;0.17;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\57_158MT635804
158MT635855;3346;158;MT;635.66;635.86;0.20;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\56_158MT635855
158MT677984;3348;158;MT;677.98;635.80;42.18;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\58_158MT677984
158MT719266;3349;158;MT;719.27;677.98;41.29;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\59_158MT719266
158MT758136;3350;158;MT;758.14;719.27;38.87;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\60_158MT758136
158MT777605;3351;158;MT;777.61;758.14;19.47;1;\Videos\Recebidos\2020\Lote1\1107\30_09_2020\61_158MT777605
158PA607077;3386;158;PA;607.08;590.50;16.58;1;\Videos\Recebidos\2020\Lote1\1107\13_11_2020\96_158PA607077
158PA632565;3387;158;PA;632.57;607.08;25.49;1;\Videos\Recebidos\2020\Lote1\1107\12_11_2020\97_158PA632565
158PA637756;3388;158;PA;637.76;632.57;5.19;1;\Videos\Recebidos\2020\Lote1\1107\12_11_2020\98_158PA637756
158PA639618;3389;158;PA;639.62;638.86;0.76;1;\Videos\Recebidos\2020\Lote1\1107\12_11_2020\99_158PA639618
158PA642383;3390;158;PA;642.38;641.12;1.26;1;\Videos\Recebidos\2020\Lote1\1107\12_11_2020\100_158PA642383
158PA699231;3391;158;PA;699.23;643.33;55.90;1;\Videos\Recebidos\2020\Lote1\1107\12_11_2020\101_158PA699231
158PA764115;3392;158;PA;764.12;699.23;64.89;1;\Videos\Recebidos\2020\Lote1\1107\12_11_2020\102_158PA764115
158PA777795;3393;158;PA;777.80;764.12;13.68;1;\Videos\Recebidos\2020\Lote1\1107\11_11_2020\103_158PA777795
158PA857584;3394;158;PA;857.58;777.80;79.78;1;\Videos\Recebidos\2020\Lote1\1107\11_11_2020\104_158PA857584
158PA889792;3395;158;PA;889.79;857.58;32.21;1;\Videos\Recebidos\2020\Lote1\1107\11_11_2020\105_158PA889792
163MS000000;1074;163;MS;0.00;0.68;0.68;1;\Videos\Recebidos\2020\Lote1\1102\13_09_2020\170_163MS000000
163MS000000;1076;163;MS;0.00;1.30;1.30;1;\Videos\Recebidos\2020\Lote1\1102\05_09_2020\172_163MS000000
163MS000000;1077;163;MS;0.00;3.33;3.33;1;\Videos\Recebidos\2020\Lote1\1102\05_09_2020\173_163MS000000
163MS000556;1075;163;MS;0.56;0.00;0.56;1;\Videos\Recebidos\2020\Lote1\1102\13_09_2020\171_163MS000556
163MT029200;1912;163;MT;29.20;33.96;4.76;1;\Videos\Recebidos\2020\Lote1\1105\31_10_2020\11_163MT029200
163MT033959;1913;163;MT;33.96;38.75;4.79;1;\Videos\Recebidos\2020\Lote1\1105\31_10_2020\12_163MT033959
163MT1041702;1992;163;MT;1041.70;999.73;41.97;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\91_163MT1041702
163MT1053048;1993;163;MT;1053.05;1041.70;11.35;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\92_163MT1053048
163MT1076415;1994;163;MT;1076.42;1053.05;23.37;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\93_163MT1076415
163MT1076944;1996;163;MT;1076.94;1076.42;0.52;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\95_163MT1076944
163MT1076974;1995;163;MT;1076.44;1076.97;0.53;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\94_163MT1076974
163MT1077457;1997;163;MT;1077.46;1076.94;0.52;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\96_163MT1077457
163MT1078983;1999;163;MT;1078.98;1077.46;1.52;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\98_163MT1078983
163MT1079023;1998;163;MT;1077.49;1079.02;1.53;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\97_163MT1079023
163MT1079236;2000;163;MT;1079.24;1078.98;0.26;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\99_163MT1079236
163MT1128612;2001;163;MT;1128.61;1079.24;49.37;1;\Videos\Recebidos\2020\Lote1\1105\06_10_2020\100_163MT1128612
163MT330127;1969;163;MT;330.13;327.20;2.93;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\68_163MT330127
163MT330134;1968;163;MT;327.20;330.13;2.93;1;\Videos\Recebidos\2020\Lote1\1105\31_10_2020\67_163MT330134
163MT332504;1970;163;MT;330.13;332.50;2.37;1;\Videos\Recebidos\2020\Lote1\1105\31_10_2020\69_163MT332504
163MT332528;1971;163;MT;332.53;330.13;2.40;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\70_163MT332528
163MT337302;1972;163;MT;332.50;337.30;4.80;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\71_163MT337302
163MT337312;1973;163;MT;337.31;332.53;4.78;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\72_163MT337312
163MT340929;1975;163;MT;340.93;337.31;3.62;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\74_163MT340929
163MT340975;1974;163;MT;337.30;340.98;3.68;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\73_163MT340975
163MT349694;1977;163;MT;349.69;340.93;8.76;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\76_163MT349694
163MT349763;1976;163;MT;340.98;349.76;8.78;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\75_163MT349763
163MT350378;1979;163;MT;350.38;349.69;0.69;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\78_163MT350378
163MT350476;1978;163;MT;349.76;350.48;0.72;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\77_163MT350476
163MT351894;1980;163;MT;350.48;351.89;1.41;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\79_163MT351894
163MT351915;1981;163;MT;351.92;350.38;1.54;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\80_163MT351915
163MT355211;1982;163;MT;351.89;355.21;3.32;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\81_163MT355211
163MT355243;1983;163;MT;355.24;351.92;3.32;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\82_163MT355243
163MT360837;1985;163;MT;360.84;355.24;5.60;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\84_163MT360837
163MT360862;1984;163;MT;355.21;360.86;5.65;1;\Videos\Recebidos\2020\Lote1\1105\01_11_2020\83_163MT360862
163MT867945;1986;163;MT;867.95;858.34;9.61;1;\Videos\Recebidos\2020\Lote1\1105\07_10_2020\85_163MT867945
163MT948778;1987;163;MT;948.78;867.95;80.83;1;\Videos\Recebidos\2020\Lote1\1105\07_10_2020\86_163MT948778
163MT968199;1988;163;MT;968.20;948.78;19.42;1;\Videos\Recebidos\2020\Lote1\1105\07_10_2020\87_163MT968199
163MT972036;1989;163;MT;972.04;968.20;3.84;1;\Videos\Recebidos\2020\Lote1\1105\07_10_2020\88_163MT972036
163MT995588;1990;163;MT;995.59;972.04;23.55;1;\Videos\Recebidos\2020\Lote1\1105\07_10_2020\89_163MT995588
163MT999729;1991;163;MT;999.73;995.59;4.14;1;\Videos\Recebidos\2020\Lote1\1105\07_10_2020\90_163MT999729
163PA083039;6144;163;PA;83.04;54.91;28.13;1;\Videos\Recebidos\2020\Lote1\1107\05_12_2020\62_163PA083039
163PA1005413;3380;163;PA;1005.41;987.46;17.95;1;\Videos\Recebidos\2020\Lote1\1107\27_11_2020\90_163PA1005413
163PA1005509;3382;163;PA;1005.51;1005.41;0.10;1;\Videos\Recebidos\2020\Lote1\1107\27_11_2020\92_163PA1005509
163PA1005513;3381;163;PA;1005.42;1005.51;0.09;1;\Videos\Recebidos\2020\Lote1\1107\27_11_2020\91_163PA1005513
163PA1007729;3383;163;PA;1005.51;1007.73;2.22;1;\Videos\Recebidos\2020\Lote1\1107\27_11_2020\93_163PA1007729
163PA1007732;3384;163;PA;1007.73;1005.51;2.22;1;\Videos\Recebidos\2020\Lote1\1107\27_11_2020\94_163PA1007732
163PA102321;6145;163;PA;102.32;83.04;19.28;1;\Videos\Recebidos\2020\Lote1\1107\04_12_2020\63_163PA102321
163PA121001;6146;163;PA;121.00;102.32;18.68;1;\Videos\Recebidos\2020\Lote1\1107\04_12_2020\64_163PA121001
163PA158105;6147;163;PA;158.11;121.00;37.10;1;\Videos\Recebidos\2020\Lote1\1107\04_12_2020\65_163PA158105
163PA226051;6148;163;PA;226.05;158.11;67.95;1;\Videos\Recebidos\2020\Lote1\1107\04_12_2020\66_163PA226051
163PA309314;6149;163;PA;309.31;278.99;30.32;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\67_163PA309314
163PA309669;6150;163;PA;309.31;309.67;0.36;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\68_163PA309669
163PA309670;6151;163;PA;309.67;309.31;0.36;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\69_163PA309670
163PA310257;6152;163;PA;310.26;309.67;0.59;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\70_163PA310257
163PA310998;6153;163;PA;311.00;310.26;0.74;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\71_163PA310998
163PA311570;6155;163;PA;311.57;311.00;0.57;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\73_163PA311570
163PA311575;6154;163;PA;311.00;311.58;0.58;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\72_163PA311575
163PA311895;6156;163;PA;311.90;311.57;0.33;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\74_163PA311895
163PA312435;6158;163;PA;312.44;311.90;0.54;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\76_163PA312435
163PA312440;6157;163;PA;311.90;312.44;0.54;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\75_163PA312440
163PA313278;6159;163;PA;313.28;312.44;0.84;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\77_163PA313278
163PA313635;6160;163;PA;313.64;313.28;0.36;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\79_163PA313635
163PA313637;6163;163;PA;313.28;313.64;0.35;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\78_163PA313637
163PA346412;6161;163;PA;346.41;313.64;32.78;1;\Videos\Recebidos\2020\Lote1\1107\03_12_2020\80_163PA346412
163PA676253;6162;163;PA;676.25;645.22;31.03;1;\Videos\Recebidos\2020\Lote1\1107\30_11_2020\81_163PA676253
163PA863025;3372;163;PA;863.03;836.39;26.64;1;\Videos\Recebidos\2020\Lote1\1107\26_11_2020\82_163PA863025
163PA881014;3373;163;PA;881.01;863.03;17.98;1;\Videos\Recebidos\2020\Lote1\1107\28_11_2020\83_163PA881014
163PA899113;3374;163;PA;899.11;881.01;18.10;1;\Videos\Recebidos\2020\Lote1\1107\28_11_2020\84_163PA899113
163PA914640;3375;163;PA;914.64;899.11;15.53;1;\Videos\Recebidos\2020\Lote1\1107\28_11_2020\85_163PA914640
163PA970417;3376;163;PA;970.42;914.64;55.78;1;\Videos\Recebidos\2020\Lote1\1107\27_11_2020\86_163PA970417
163PA973800;3377;163;PA;973.80;970.42;3.38;1;\Videos\Recebidos\2020\Lote1\1107\26_11_2020\87_163PA973800
163PA982065;3378;163;PA;982.07;973.80;8.27;1;\Videos\Recebidos\2020\Lote1\1107\26_11_2020\88_163PA982065
163PA987463;3379;163;PA;987.46;982.07;5.39;1;\Videos\Recebidos\2020\Lote1\1107\26_11_2020\89_163PA987463
174AM1010068;1249;174;AM;1010.07;1020.02;9.95;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\23_174AM1010068
174AM1020022;1250;174;AM;1020.02;1022.88;2.86;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\24_174AM1020022
174AM1022877;1251;174;AM;1022.88;1057.97;35.09;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\25_174AM1022877
174AM1057969;1252;174;AM;1057.97;1060.18;2.21;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\26_174AM1057969
174AM1060183;1253;174;AM;1060.18;1066.19;6.01;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\27_174AM1060183
174AM1066189;1254;174;AM;1066.19;1094.74;28.55;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\28_174AM1066189
174AM1094744;1255;174;AM;1094.74;1117.21;22.47;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\29_174AM1094744
174AM1117213;1256;174;AM;1117.21;1122.23;5.02;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\30_174AM1117213
174AM1122231;1257;174;AM;1122.23;1126.15;3.92;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\31_174AM1122231
174AM1126147;1258;174;AM;1126.15;1139.86;13.71;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\32_174AM1126147
174AM1139864;1259;174;AM;1139.86;1141.34;1.48;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\33_174AM1139864
174AM662320;1226;174;AM;662.32;682.33;20.01;1;\Videos\Recebidos\2020\Lote1\1103\02_09_2020\0_174AM662320
174AM682327;1227;174;AM;682.33;745.98;63.65;1;\Videos\Recebidos\2020\Lote1\1103\02_09_2020\1_174AM682327
174AM745976;1228;174;AM;745.98;756.76;10.78;1;\Videos\Recebidos\2020\Lote1\1103\02_09_2020\2_174AM745976
174AM756755;1229;174;AM;756.76;807.82;51.06;1;\Videos\Recebidos\2020\Lote1\1103\03_09_2020\3_174AM756755
174AM807817;1230;174;AM;807.82;821.01;13.19;1;\Videos\Recebidos\2020\Lote1\1103\03_09_2020\4_174AM807817
174AM821007;1231;174;AM;821.01;835.81;14.80;1;\Videos\Recebidos\2020\Lote1\1103\03_09_2020\5_174AM821007
174AM835814;1232;174;AM;835.81;837.32;1.51;1;\Videos\Recebidos\2020\Lote1\1103\03_09_2020\6_174AM835814
174AM837324;1233;174;AM;837.32;844.45;7.13;1;\Videos\Recebidos\2020\Lote1\1103\03_09_2020\7_174AM837324
174AM844453;1234;174;AM;844.45;847.46;3.01;1;\Videos\Recebidos\2020\Lote1\1103\03_09_2020\8_174AM844453
174AM886764;1235;174;AM;886.76;917.28;30.52;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\9_174AM886764
174AM917276;1236;174;AM;917.28;931.26;13.98;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\10_174AM917276
174AM931256;1237;174;AM;931.26;968.68;37.42;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\11_174AM931256
174AM968683;1238;174;AM;968.68;985.22;16.54;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\12_174AM968683
174AM985217;1239;174;AM;985.22;989.18;3.96;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\13_174AM985217
174AM989179;1240;174;AM;989.18;989.45;0.27;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\14_174AM989179
174AM989447;1242;174;AM;989.45;992.59;3.14;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\16_174AM989447
174AM989451;1241;174;AM;989.45;989.18;0.27;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\15_174AM989451
174AM992585;1243;174;AM;992.59;993.52;0.93;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\17_174AM992585
174AM993523;1245;174;AM;993.52;994.28;0.76;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\19_174AM993523
174AM993538;1244;174;AM;993.54;992.59;0.95;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\18_174AM993538
174AM994278;1247;174;AM;994.28;999.48;5.20;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\21_174AM994278
174AM994283;1246;174;AM;994.28;993.54;0.74;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\20_174AM994283
174AM999483;1248;174;AM;999.48;1010.07;10.59;1;\Videos\Recebidos\2020\Lote1\1103\04_09_2020\22_174AM999483
174MT000000;1914;174;MT;0.00;0.26;0.26;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\13_174MT000000
174MT000250;1915;174;MT;0.25;0.00;0.25;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\14_174MT000250
174MT000257;1916;174;MT;0.26;81.77;81.51;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\15_174MT000257
174MT113538;2002;174;MT;113.54;90.60;22.94;1;\Videos\Recebidos\2020\Lote1\1105\19_10_2020\101_174MT113538
174MT133189;2003;174;MT;133.19;113.54;19.65;1;\Videos\Recebidos\2020\Lote1\1105\19_10_2020\102_174MT133189
174MT139619;2004;174;MT;139.62;133.19;6.43;1;\Videos\Recebidos\2020\Lote1\1105\19_10_2020\103_174MT139619
174MT166250;2005;174;MT;166.25;139.62;26.63;1;\Videos\Recebidos\2020\Lote1\1105\19_10_2020\104_174MT166250
174MT177881;2006;174;MT;177.88;166.25;11.63;1;\Videos\Recebidos\2020\Lote1\1105\19_10_2020\105_174MT177881
174MT184233;2007;174;MT;184.23;177.88;6.35;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\106_174MT184233
174MT190667;2008;174;MT;190.67;184.23;6.44;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\107_174MT190667
174MT276034;2009;174;MT;276.03;190.67;85.36;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\108_174MT276034
174MT278160;2010;174;MT;278.16;276.03;2.13;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\109_174MT278160
174MT290838;2011;174;MT;290.84;278.16;12.68;1;\Videos\Recebidos\2020\Lote1\1105\20_10_2020\110_174MT290838
174MT291681;2013;174;MT;291.68;290.84;0.84;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\112_174MT291681
174MT291707;2012;174;MT;290.84;291.71;0.87;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\111_174MT291707
174MT303605;2014;174;MT;303.61;291.68;11.93;1;\Videos\Recebidos\2020\Lote1\1105\18_10_2020\113_174MT303605
174MT303971;2016;174;MT;303.97;303.61;0.36;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\115_174MT303971
174MT304005;2015;174;MT;303.63;304.01;0.38;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\114_174MT304005
174MT304355;2018;174;MT;304.36;303.97;0.39;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\117_174MT304355
174MT304385;2017;174;MT;304.01;304.39;0.38;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\116_174MT304385
174MT314235;2019;174;MT;314.24;304.36;9.88;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\118_174MT314235
174MT365596;2020;174;MT;365.60;314.24;51.36;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\119_174MT365596
174MT394144;2021;174;MT;394.14;365.60;28.54;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\120_174MT394144
174MT402486;2022;174;MT;402.49;394.14;8.35;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\121_174MT402486
174MT402692;2023;174;MT;402.69;402.49;0.20;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\122_174MT402692
174MT402902;2024;174;MT;402.72;402.90;0.18;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\123_174MT402902
174MT403447;2025;174;MT;403.45;402.69;0.76;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\124_174MT403447
174MT440161;2026;174;MT;440.16;403.45;36.71;1;\Videos\Recebidos\2020\Lote1\1105\17_10_2020\125_174MT440161
174MT499744;2028;174;MT;499.47;499.74;0.27;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\127_174MT499744
174MT500015;2027;174;MT;500.02;440.16;59.86;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\126_174MT500015
174MT500081;2030;174;MT;499.74;500.08;0.34;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\129_174MT500081
174MT500293;2029;174;MT;500.29;500.02;0.27;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\128_174MT500293
174MT500653;2031;174;MT;500.65;500.29;0.36;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\130_174MT500653
174MT502463;2032;174;MT;502.46;500.65;1.81;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\131_174MT502463
174MT556152;2033;174;MT;556.15;502.46;53.69;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\132_174MT556152
174MT585175;2034;174;MT;585.18;556.15;29.03;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\133_174MT585175
174MT602793;2035;174;MT;602.79;585.18;17.61;1;\Videos\Recebidos\2020\Lote1\1105\16_10_2020\134_174MT602793
174RO000000;2526;174;RO;0.00;6.98;6.98;1;\Videos\Recebidos\2020\Lote1\1106\06_11_2020\75_174RO000000
174RO006983;2527;174;RO;6.98;13.26;6.28;1;\Videos\Recebidos\2020\Lote1\1106\06_11_2020\76_174RO006983
174RO013244;2528;174;RO;13.24;6.98;6.26;1;\Videos\Recebidos\2020\Lote1\1106\06_11_2020\77_174RO013244
174RO013255;2529;174;RO;13.26;14.86;1.60;1;\Videos\Recebidos\2020\Lote1\1106\06_11_2020\78_174RO013255
174RO014850;2530;174;RO;14.85;13.24;1.61;1;\Videos\Recebidos\2020\Lote1\1106\06_11_2020\79_174RO014850
174RO014862;2531;174;RO;14.86;33.28;18.42;1;\Videos\Recebidos\2020\Lote1\1106\06_11_2020\80_174RO014862
174RR000000;1344;174;RR;0.00;11.41;11.41;1;\Videos\Recebidos\2020\Lote1\1103\09_09_2020\118_174RR000000
174RR000000;1260;174;RR;0.00;30.74;30.74;1;\Videos\Recebidos\2020\Lote1\1103\05_09_2020\34_174RR000000
